0.280162,
0.252863,
0.24344,
0.238299,
0.235197,
0.232938,
0.231297,
0.230068,
0.229143,
0.228367,
0.227629,
0.227202,
0.226701,
0.226243,
0.225965,
0.225676,
0.225347,
0.225112,
0.224908,
0.224631,
0.224504,
0.224359,
0.224195,
0.223983,
0.223928,
0.223772,
0.223725,
0.22366,
0.223588,
0.223496,
0.223422,
0.22338,
0.223325,
0.223246,
0.223175,
0.223165,
0.223148,
0.223114,
0.223041,
0.223022,
0.222971,
0.222919,
0.222929,
0.222911,
0.22286,
0.222826,
0.222845,
0.222804,
0.222765,
0.222746,
0.22276,
0.222671,
0.222731,
0.222716,
0.222714,
0.222666,
0.222665,
0.222657,
0.222631,
0.222618,
0.222618,
0.222596,
0.222613,
0.222603,
0.222547,
0.222575,
0.222546,
0.222546,
0.222538,
0.22254,
0.222546,
0.222496,
0.222507,
0.222512,
0.222494,
0.22249,
0.222494,
0.222475,
0.222462,
0.22247,
0.222465,
0.222473,
0.222447,
0.222445,
0.222418,
0.222453,
0.222434,
0.222415,
0.222418,
0.222418,
0.222412,
0.222402,
0.222408,
0.222415,
0.2224,
0.222403,
0.222393,
0.222369,
0.222376,
0.222367,
0.222366,
0.222358,
0.222376,
0.222382,
0.222353,
0.222365,
0.22238,
